,Drivetrain,Engine,Exterior,HWY,Interior,Location,Mileage,Original Price,Sales Price,Stock #,Trans,Unnamed: 0,Vehicle Name,Vin #,Year
16, RWD, Twin Turbo Premium Unleaded V-8 4.7 L/285, Dune Silver, 26 MPG                                          |                              CITY, Silk Beige/Espresso Brown Nappa Leather,"Rocklin, CA        "," 13,893","            $49,829          ","             $46,000          ", U11537, 7-Speed Automatic w/OD,16.0,Mercedes-Benz E 550 RWD, WDDKK7DF9GF331568,2016
17, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, Silk Beige MB-Tex,"Rocklin, CA        "," 27,031","            $30,356          ","             $27,500          ", U11539, 7-Speed Automatic w/OD,17.0,Mercedes-Benz C 300 RWD, 55SWF4JB1GU165212,2016
18, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Diamond White Metallic, 30 MPG                                          |                              CITY, Macchiato Beige/ Black MB-Tex,"Rocklin, CA        "," 33,409","            $40,069          ","             $38,995          ", U11530, 9-Speed Automatic w/OD,18.0,Mercedes-Benz E 300 RWD, WDDZF4JB2HA046311,2017
19, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Cirrus White, 38 MPG                                          |                              CITY, Black MB-Tex,"Rocklin, CA        "," 23,561","            $28,749          ","             $27,000          ", U11543, 7-Speed Auto-Shift Manual w/OD,19.0,Mercedes-Benz CLA 250 Sport FWD, WDDSJ4EB3GN369574,2016
20, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 30 MPG                                          |                              CITY, Black,"Rocklin, CA        "," 30,004","            $37,300          ","             $36,500          ", U11606, 7-Speed Automatic w/OD,0.0,Mercedes-Benz C 300 RWD, WDDWJ4JB2HF417911,2017
21, RWD, Premium Unleaded V-6 3.5 L/213, designo Cardinal Red Metallic, 29 MPG                                          |                              CITY, Sahara Beige Leather,"Rocklin, CA        "," 21,939","            $41,000          ","             $36,895          ", U11510, 7-Speed Automatic w/OD,1.0,Mercedes-Benz SLK 350 Sport RWD, WDDPK5HA2GF124786,2016
22, RWD, Premium Unleaded V-6 3.5 L/213, Dakota Brown Metallic, 24 MPG                                          |                              CITY, Espresso Brown/Ginger Beige MB-Tex,"Rocklin, CA        "," 21,957","            $37,995          ","             $37,000          ", U11604, 7-Speed Automatic w/OD,2.0,Mercedes-Benz GLE 350 RWD, 4JGDA5JB6GA657624,2016
23, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 31 MPG                                          |                              CITY, Sahara Beige,"Rocklin, CA        "," 8,572","            $40,125          ","             $38,000          ", U11624, 7-Speed Auto-Shift Manual w/OD,3.0,Mercedes-Benz GLA 250 AWD 4MATIC®, WDCTG4GB3KJ576857,2019
24, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, designo Diamond White, 29 MPG                                          |                              CITY, Natural Beige/Black Nappa Leather,"Rocklin, CA        "," 35,203","            $40,147          ","             $38,500          ", U11558, 7-Speed Automatic w/OD,4.0,Mercedes-Benz E 400 Sport RWD, WDDKJ6FB6HF353939,2017
25, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Diamond White Metallic, 30 MPG                                          |                              CITY, Macchiato Beige/ Black MB-Tex,"Rocklin, CA        "," 33,409","            $40,069          ","             $38,995          ", U11530, 9-Speed Automatic w/OD,5.0,Mercedes-Benz E 300 RWD, WDDZF4JB2HA046311,2017
26, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, designo Cardinal Red Metallic, 27 MPG                                          |                              CITY, Silk Beige MB-Tex,"Rocklin, CA        "," 8,423","            $46,695          ","             $39,995          ", U11577, 9-Speed Automatic w/OD,6.0,Mercedes-Benz GLC 300 RWD, WDC0G4JBXKF510322,2019
27, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, designo Diamond White Metallic, 30 MPG                                          |                              CITY, Saddle Brown / Black Leather,"Rocklin, CA        "," 38,575","            $41,995          ","             $39,995          ", U11593, 7-Speed Automatic w/OD,7.0,Mercedes-Benz CLS 400 RWD, WDDLJ6FB9GA162693,2016
28, FWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mountain Grey Metallic, 35 MPG                                          |                              CITY, Titanium Grey/Black Leather,"Rocklin, CA        ", 345,"            $45,200          ","             $39,995          ", U11553, 7-Speed Auto-Shift Manual w/OD,8.0,Mercedes-Benz A 220 FWD, WDD3G4EB4KW002222,2019
29, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, designo Diamond White, 29 MPG                                          |                              CITY, Natural Beige/Black Nappa Leather,"Rocklin, CA        "," 47,270","            $45,000          ","             $41,000          ", U11511, 7-Speed Automatic w/OD,9.0,Mercedes-Benz E 400 Sport RWD, WDDKK6FF8HF351013,2017
30, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mojave Silver Metallic, 34 MPG                                          |                              CITY, Magma Grey,"Rocklin, CA        ", 0,"            $45,095          ","             $41,000          ", U11625, 9-Speed Automatic w/OD,10.0,Mercedes-Benz C 300 RWD, 55SWF8DB4KU296369,2019
31, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mojave Silver Metallic, 27 MPG                                          |                              CITY, Black MB-Tex,"Rocklin, CA        "," 8,633","            $46,525          ","             $42,600          ", U11520, 9-Speed Automatic w/OD,11.0,Mercedes-Benz GLC 300 RWD, WDC0G4JB0KV144036,2019
32, RWD, Twin Turbo Premium Unleaded V-8 4.7 L/285, Polar White, 26 MPG                                          |                              CITY, Natural Beige/Black,"Rocklin, CA        "," 40,867","            $44,500          ","             $43,500          ", U11619, 7-Speed Automatic w/OD,12.0,Mercedes-Benz E 550 RWD, WDDKK7DF6GF339790,2016
33, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mojave Silver Metallic, 27 MPG                                          |                              CITY, Black MB-Tex,"Rocklin, CA        "," 8,649","            $49,485          ","             $43,995          ", U11519, 9-Speed Automatic w/OD,13.0,Mercedes-Benz GLC 300 RWD, WDC0G4JB4KV151037,2019
34, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Selenite Grey Metallic, 27 MPG                                          |                              CITY, Black MB-Tex,"Rocklin, CA        "," 8,107","            $49,635          ","             $45,000          ", U11574, 9-Speed Automatic w/OD,14.0,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0G4KB4K1001547,2019
35, AWD 4MATIC, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Selenite Grey Metallic, 27 MPG                                          |                              CITY, Black MB-Tex,"Rocklin, CA        "," 7,356","            $49,635          ","             $45,000          ", U11573, 9-Speed Automatic w/OD,15.0,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0G4KB2K1001515,2019
36, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, AMG Black MB-Tex,"Rocklin, CA        "," 8,457","            $49,325          ","             $46,000          ", U11578, 9-Speed Automatic w/OD,16.0,Mercedes-Benz C 300 Sport RWD, 55SWF8DB0KU303611,2019
37, RWD, Twin Turbo Premium Unleaded V-8 4.7 L/285, Dune Silver, 26 MPG                                          |                              CITY, Silk Beige/Espresso Brown Nappa Leather,"Rocklin, CA        "," 13,893","            $49,829          ","             $46,000          ", U11537, 7-Speed Automatic w/OD,17.0,Mercedes-Benz E 550 RWD, WDDKK7DF9GF331568,2016
38, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 34 MPG                                          |                              CITY, Black,"Rocklin, CA        ", 0,"            $53,637          ","             $47,700          ", U11469, 9-Speed Automatic w/OD,18.0,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0J4KB1JF405750,2018
39, AWD 4MATIC, Twin Turbo Premium Unleaded V-6 3.0 L/183, Polar White, 22 MPG                                          |                              CITY, Ginger Beige/Espresso Brown MB-Tex,"Rocklin, CA        "," 37,167","            $50,280          ","             $49,500          ", U11603, 9-Speed Automatic w/OD,0.0,Mercedes-Benz GLS 450 AWD 4MATIC®, 4JGDF6EE3HA743244,2017
40, AWD 4MATIC, Intercooled Turbo Diesel V-6 3.0 L/182, Steel Grey Metallic, 26 MPG                                          |                              CITY, Black MB-Tex,"Rocklin, CA        "," 22,411","            $50,947          ","             $49,500          ", U11562, 7-Speed Automatic w/OD,1.0,Mercedes-Benz GL 350 AWD 4MATIC®, 4JGDF2EE0GA702691,2016
41, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, Silk Beige MB-Tex,"Rocklin, CA        "," 7,961","            $51,195          ","             $49,800          ", U11576, 9-Speed Automatic w/OD,2.0,Mercedes-Benz C 300 RWD, 55SWF8DB5KU300526,2019
42, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Lunar Blue, 27 MPG                                          |                              CITY, Porcelain / Black Nappa Leather,"Rocklin, CA        "," 40,608","            $50,825          ","             $49,900          ", U11602, 7-Speed Automatic w/OD,3.0,Mercedes-Benz SL 400 RWD, WDDJK6FA8FF037388,2015
43, RWD, Twin Turbo Premium Unleaded V-8 4.7 L/285, Black, 26 MPG                                          |                              CITY, Black/Black Nappa Leather,"Rocklin, CA        "," 31,777","            $55,995          ","             $52,000          ", U11517, 7-Speed Automatic w/OD,4.0,Mercedes-Benz SL 400 RWD, WDDJK6FA5FF033962,2015
44, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Black, 27 MPG                                          |                              CITY, Black Nappa Leather,"Rocklin, CA        "," 13,998","            $59,705          ","             $55,000          ", U11560, 7-Speed Automatic w/OD,5.0,Mercedes-Benz GLC 350 AWD 4MATIC®, WDC0G5EB6KF495057,2019
45, AWD 4MATIC, Intercooled Turbo Gas/Electric I-4 2.0 L/121, Selenite Grey Metallic,, Black MB-Tex,"Rocklin, CA        "," 8,672","            $60,000          ","             $59,000          ", U11613, 7-Speed Automatic w/OD,6.0,Mercedes-Benz AMG® GL 63 SUV AWD 4MATIC®, 4JGDF7EE8FA518627,2015
46, AWD 4MATIC, Twin Turbo Premium Unleaded V-8 5.5 L/333, Black, 17 MPG                                          |                              CITY, Black Leather,"Rocklin, CA        "," 53,236","            $70,000          ","             $69,000          ", U11600, 7-Speed Automatic w/OD,7.0,Mercedes-Benz SL 450 RWD, WDDJK6GA9HF047073,2017
47, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, designo Cardinal Red Metallic, 26 MPG                                          |                              CITY, designo Macchiato Beige/ Titian Red Nappa Leather,"Rocklin, CA        "," 18,410","            $75,000          ","             $74,000          ", U11590, 9-Speed Automatic w/OD,8.0,Mercedes-Benz SL 450 RWD, WDDJK6GA8JF051198,2018
48, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Selenite Grey Metallic, 28 MPG                                          |                              CITY, Crystal Grey/Black Leather,"Rocklin, CA        "," 18,845","            $77,000          ","             $76,000          ", U11591, 9-Speed Automatic w/OD,9.0,Mercedes-Benz AMG® CLS 63S Coupe AWD 4MATIC®, WDDLJ7GB1GA186765,2016
49, RWD, Twin Turbo Premium Unleaded V-6 3.0 L/183, Magnetite Black Metallic, 28 MPG                                          |                              CITY, Porcelain/Black Exclusive Nappa Leather,"Rocklin, CA        ", 0,"            $99,000          ","             $98,000          ", U11580, 9-Speed Automatic w/OD,10.0,Mercedes-Benz S-Class AMG® S 63 Long Wheelbase 4MATIC® AWD 4MATIC®, WDDUG8JB0JA393074,2018
50, AWD 4MATIC, Twin Turbo Premium Unleaded V-8 5.5 L/333, designo Diamond White Metallic, 22 MPG                                          |                              CITY, designo Classic Red/Black Semi-Aniline Leather,"Rocklin, CA        ", 0,"            $19,995          ","             $16,500          ", U11596, 7-Speed Automatic w/OD,11.0,INFINITI Q40 Q40 RWD, JN1CV6AP2FM502963,2015
51, AWD 4MATIC, Twin Turbo Premium Unleaded V-8 4.0 L/243, Black, 26 MPG                                          |                              CITY, Black Exclusive Nappa Leather,"Rocklin, CA        ", 0,"            $23,000          ","             $19,000          ", U11507, 9-Speed Automatic w/OD,12.0,INFINITI Q50 QX50 RWD, JN1BV7AP0FM347380,2015
52, RWD, Premium Unleaded V-6 3.7 L/226, Moonlight White, 27 MPG                                          |                              CITY, Graphite,"Rocklin, CA        "," 18,770","            $21,995          ","             $21,000          ", U11571, 7-Speed Automatic w/OD,13.0,Toyota Avalon AVALON FWD, 4T1BK1EB2FU192098,2015
53, RWD, Premium Unleaded V-6 3.7 L/226, Graphite Shadow, 30 MPG                                          |                              CITY, Graphite,"Rocklin, CA        "," 48,822","            $23,000          ","             $22,000          ", U11599, 7-Speed Automatic w/OD,14.0,Nissan 370Z Touring RWD, JN1AZ4FH7CM370599,2012
54, FWD, Regular Unleaded V-6 3.5 L/211, Gray, 31 MPG                                          |                              CITY, Beige,"Rocklin, CA        "," 40,071","            $25,000          ","             $23,995          ", U11572, 6-Speed Automatic w/OD,15.0,Audi Q3 Premium AWD, WA1ECCFS7HR002644,2017
55, RWD, Gas V6 3.7L/, Gun Metallic, 25 MPG                                          |                              CITY, Black,"Rocklin, CA        "," 40,674","            $28,000          ","             $27,000          ", U11598, 7-Speed Automatic w/OD,16.0,GMC Yukon SLT 4WD, 1GKS2BKC3GR286863,2016
56, AWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Gray, 28 MPG                                          |                              CITY, Black,"Rocklin, CA        "," 41,048","            $30,000          ","             $29,500          ", U11568, 6-Speed Automatic w/OD,17.0,Ford Mustang MUSTANG GT RWD, 1FA6P8CF9F5339393,2015
57, FWD, Regular Unleaded V-6 3.5 L/211, White, 30 MPG                                          |                              CITY, Beige,"Rocklin, CA        "," 10,420","            $38,718          ","             $35,995          ", U11526, 6-Speed Automatic w/OD,0.0,Lexus ES ES 350 FWD, 58ABK1GG5JU106423,2018
58, AWD, Premium Unleaded V-6 3.5 L/212, White, 26 MPG                                          |                              CITY, Beige,"Rocklin, CA        "," 43,516","            $37,000          ","             $36,000          ", U11616, 9-Speed Automatic w/OD,1.0,Acura MDX w/Advance Pkg AWD, 5FRYD4H82HB029519,2017
59, RWD, Premium Unleaded H-6 2.7 L/165, GT Silver Metallic, 30 MPG                                          |                              CITY, Black,"Rocklin, CA        "," 35,241","            $41,995          ","             $39,990          ", U11584,,2.0,Porsche Cayman CAYMEN RWD, WP0AA2A87FK161430,2015
60, RWD, Intercooled Turbo Diesel V-6 3.0 L/182, ARCTIC WHITE,, Black,"Rocklin, CA        ", 253,"            $48,116          ","             $46,000          ", U11522, 7-Speed Automatic w/OD,3.0,Freightliner Sprinter Cargo Van F2CA76, WDYPF1CD5KT003399,2019
61, RWD, Intercooled Turbo Diesel V-6 3.0 L/182, ARTIC WHITE,, Black/White,"Rocklin, CA        ", 10,"            $53,240          ","             $50,989          ", U11361, 7-Speed Automatic w/OD,4.0,Freightliner F2CA76 F2CA76 RWD, WDRPF1CD2KT000813,2019
62, RWD, Intercooled Turbo Diesel V-6 3.0 L/182, ARTIC WHITE,, Black/White,"Rocklin, CA        ", 10,"            $53,240          ","             $51,000          ", U11308, 7-Speed Automatic w/OD,5.0,Freightliner F2CA76 F2CA76 RWD, WDRPF1CD6KT000488,2019
63, 4WD, Intercooled Supercharger Premium Unleaded V-8 5.0 L/305, Gray, 19 MPG                                          |                              CITY, Black,"Rocklin, CA        "," 32,994","            $57,000          ","             $53,500          ", U11470, 8-Speed Automatic w/OD,6.0,Land Rover Range Rover Sport RANGEROVER 4WD, SALWR2EF8GA576456,2016
64, RWD, Gas V8 6.2L/376, Arctic White, 26 MPG                                          |                              CITY, Adrenaline Red,"Rocklin, CA        "," 1,263","            $59,000          ","             $56,995          ", U11589, 8-Speed Automatic,7.0,Chevrolet Corvette Z51 2LT RWD, 1G1YK3D76H5122651,2017
65, RWD, Gas V8 6.2L/376, Watkins Glen Gray Metallic, 25 MPG                                          |                              CITY, Jet Black,"Rocklin, CA        "," 3,515","            $69,000          ","             $68,000          ", U11611, 8-Speed Automatic,8.0,Chevrolet Corvette Grand Sport 3LT RWD, 1G1Y12D72K5101736,2019
66,, Gas Flat 6-cyl 3.6L/219, Red, 23 MPG                                          |                              CITY, COCO,"Rocklin, CA        "," 26,841","            $73,453          ","             $69,000          ", U11524,,9.0,Porsche 911 911 T, WP0AD299X8S783611,2008
0, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mountain Grey, 37 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 9,188","            $38,240          ","             $32,578          ", R20899, 7-Speed Auto-Shift Manual w/OD,0.0,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EBXKN742067,2019
1, AWD 4MATIC®, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 31 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 5,814","            $39,395          ","             $34,298          ", R20910, 7-Speed Auto-Shift Manual w/OD,1.0,Mercedes-Benz GLA 250 AWD 4MATIC®, WDCTG4GB9KJ551848,2019
2, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Night Black, 37 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 5,798","            $35,145          ","             $32,452          ", R20964, 7-Speed Auto-Shift Manual w/OD,2.0,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB5KN708246,2019
3, AWD 4MATIC®, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Brilliant Blue Metallic, 28 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 4,985","            $47,991          ","             $39,995          ", R20979, 9-Speed Automatic w/OD,3.0,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0G4KB8JV070443,2018
4, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Black, 33 MPG                                          |                              CITY, Silk Beige MB-Tex,"El Dorado Hills, CA        "," 6,866","            $45,175          ","             $36,892          ", R20811, 9-Speed Automatic w/OD,4.0,Mercedes-Benz C 300 Rear Wheel Drive, 55SWF4JB3JU280062,2018
5, AWD 4MATIC®, Twin Turbo Premium Unleaded V-6 3.0 L/183, Black, 23 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 9,334","            $61,650          ","             $51,983          ", R20987, 9-Speed Automatic w/OD,5.0,Mercedes-Benz GLE 400 AWD 4MATIC®, 4JGDA5GB7KB212111,2019
6, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Night Black, 37 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 5,006","            $39,095          ","             $34,332          ", R20990, 7-Speed Auto-Shift Manual w/OD,6.0,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB5KN714435,2019
7, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Emerald Green Metallic, 34 MPG                                          |                              CITY, Silk Beige MB-Tex,"El Dorado Hills, CA        "," 7,405","            $45,095          ","             $38,079          ", R20988, 9-Speed Automatic w/OD,7.0,Mercedes-Benz C 300 Rear Wheel Drive, 55SWF8DB9KU286789,2019
8, AWD 4MATIC®, Twin Turbo Premium Unleaded V-6 3.0 L/183, Polar White, 22 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 7,881","            $79,520          ","             $67,922          ", R20986, 9-Speed Automatic w/OD,8.0,Mercedes-Benz GLS 450 AWD 4MATIC®, 4JGDF6EE3KB205371,2019
9, Rear Wheel Drive, Intercooled Turbo Gas/Electric I-4 2.0 L/121, Black,, Black MB-Tex,"El Dorado Hills, CA        "," 20,070","            $33,995          ","             $26,992          ", R20992, 7-Speed Automatic w/OD,9.0,Mercedes-Benz C 350 Rear Wheel Drive, 55SWF4HB3GU152726,2016
10, AWD, Twin Turbo Premium Unleaded V-8 4.4 L/268, BLACK, 24 MPG                                          |                              CITY, Brown,"El Dorado Hills, CA        "," 29,928","            $69,995          ","             $64,322          ", R21005, 8-Speed Automatic w/OD,10.0,BMW 6 Series ALPINA B6 G/CP AWD AWD, WBA6D6C54GGK18191,2016
11, Rear Wheel Drive, Twin Turbo Premium Unleaded V-8 4.7 L/285, Selenite Grey Metallic, 26 MPG                                          |                              CITY, Black Leather w/ white contrast stitching,"El Dorado Hills, CA        "," 40,272","            $54,991          ","             $49,222          ", R21011, 9-Speed Automatic w/OD,11.0,Mercedes-Benz CLS 550 Rear Wheel Drive, WDDLJ7DB3GA164982,2016
12, FWD, Gas/Electric I-4 2.5 L/152, Gray, 39 MPG                                          |                              CITY, Black,"El Dorado Hills, CA        "," 32,578","            $35,995          ","             $31,422          ", R21024, 1-Speed CVT w/OD,12.0,Lexus ES ES 300h FWD, JTHBW1GG7H2138004,2017
13, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Cirrus White, 37 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 8,964","            $32,995          ","             $28,992          ", R21031, 7-Speed Auto-Shift Manual w/OD,13.0,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB7JN536137,2018
14, AWD, Premium Unleaded V-6 3.5 L/212, Gray, 26 MPG                                          |                              CITY, Black,"El Dorado Hills, CA        "," 13,122","            $49,995          ","             $45,922          ", R21035, 9-Speed Automatic w/OD,14.0,Acura MDX w/Advance Pkg AWD AWD, 5J8YD4H89JL024615,2018
15, AWD 4MATIC®, Intercooled Turbo Gas/Electric I-4 2.0 L/121, Selenite Grey Metallic,, Black MB-Tex,"El Dorado Hills, CA        "," 31,299","            $53,945          ","             $49,622          ", R21037, 7-Speed Automatic w/OD,15.0,Mercedes-Benz GLC 350 AWD 4MATIC®, WDC0G5EB7JF406286,2018
16, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mountain Grey, 38 MPG                                          |                              CITY, Black MB-Tex w/ DINAMICA,"El Dorado Hills, CA        "," 53,671","            $23,995          ","             $21,982          ", R21040, 7-Speed Auto-Shift Manual w/OD,16.0,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB1EN120932,2014
17, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 8,395","            $46,575          ","             $41,995          ", R21041, 9-Speed Automatic w/OD,17.0,Mercedes-Benz C 300 Rear Wheel Drive, 55SWF8DBXKU295565,2019
18, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Selenite Grey Metallic, 27 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 8,020","            $47,385          ","             $41,286          ", R21042, 9-Speed Automatic w/OD,18.0,Mercedes-Benz GLC 300 Rear Wheel Drive, WDC0G4JB3K1001119,2019
19, Rear Wheel Drive, Premium Unleaded V-6 3.5 L/213, Polar White, 25 MPG                                          |                              CITY, Sahara Beige/Mocha MB-Tex,"El Dorado Hills, CA        "," 35,519","            $27,792          ","             $26,312          ", R21048, 7-Speed Automatic w/OD,19.0,Mercedes-Benz GLK 350 Rear Wheel Drive, WDCGG5HB0FG424074,2015
20, AWD 4MATIC®, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Night Black, 32 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 23,463","            $38,240          ","             $32,578          ", R20899, 7-Speed Auto-Shift Manual w/OD,0.0,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EBXKN742067,2019
21, Rear Wheel Drive, Premium Unleaded V-6 3.5 L/213, Iridium Silver, 29 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 36,255","            $39,395          ","             $34,298          ", R20910, 7-Speed Automatic w/OD,1.0,Mercedes-Benz GLA 250 AWD 4MATIC®, WDCTG4GB9KJ551848,2019
22, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Lunar Blue Metallic, 34 MPG                                          |                              CITY, Luxury Silk BeigeEspresso MB-Tex,"El Dorado Hills, CA        "," 13,481","            $35,145          ","             $32,452          ", R20964, 7-Speed Automatic w/OD,2.0,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB5KN708246,2019
23, Rear Wheel Drive, Twin Turbo Premium Unleaded V-8 4.7 L/285, designo Diamond White Metallic, 26 MPG                                          |                              CITY, Saddle Brown / Black Leather,"El Dorado Hills, CA        "," 35,947","            $47,991          ","             $39,995          ", R20979, 9-Speed Automatic w/OD,3.0,Mercedes-Benz GLC 300 AWD 4MATIC®, WDC0G4KB8JV070443,2018
24, Front Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Mountain Grey, 37 MPG                                          |                              CITY, Crystal Grey MB-Tex,"El Dorado Hills, CA        "," 8,760","            $45,175          ","             $36,892          ", R20811, 7-Speed Auto-Shift Manual w/OD,4.0,Mercedes-Benz C 300 Rear Wheel Drive, 55SWF4JB3JU280062,2018
25, AWD 4MATIC®, Twin Turbo Premium Unleaded V-6 3.0 L/183, Obsidian Black Metallic, 23 MPG                                          |                              CITY, Black Leather,"El Dorado Hills, CA        "," 37,788","            $61,650          ","             $51,983          ", R20987, 9-Speed Automatic w/OD,5.0,Mercedes-Benz GLE 400 AWD 4MATIC®, 4JGDA5GB7KB212111,2019
26, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 34 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 8,314","            $39,095          ","             $34,332          ", R20990, 9-Speed Automatic w/OD,6.0,Mercedes-Benz CLA 250 Front Wheel Drive, WDDSJ4EB5KN714435,2019
27, Rear Wheel Drive, Premium Unleaded V-6 3.5 L/213, Black, 24 MPG                                          |                              CITY, Black MB-Tex,"El Dorado Hills, CA        "," 38,951","            $45,095          ","             $38,079          ", R20988, 7-Speed Automatic w/OD,7.0,Mercedes-Benz C 300 Rear Wheel Drive, 55SWF8DB9KU286789,2019
28, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Brilliant Blue Metallic, 30 MPG                                          |                              CITY, Crystal Grey MB-Tex,"El Dorado Hills, CA        "," 35,552","            $79,520          ","             $67,922          ", R20986, 7-Speed Automatic w/OD,8.0,Mercedes-Benz GLS 450 AWD 4MATIC®, 4JGDF6EE3KB205371,2019
29, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Diamond Silver Metallic, 28 MPG                                          |                              CITY, Silk Beige MB-Tex,"El Dorado Hills, CA        "," 27,301","            $33,995          ","             $26,992          ", R20992, 9-Speed Automatic w/OD,9.0,Mercedes-Benz C 350 Rear Wheel Drive, 55SWF4HB3GU152726,2016
30, Rear Wheel Drive, Premium Unleaded V-6 3.5 L/213, Lunar Blue, 29 MPG                                          |                              CITY, Silk Beige MB-Tex,"El Dorado Hills, CA        "," 33,324","            $69,995          ","             $64,322          ", R21005, 7-Speed Automatic w/OD,10.0,BMW 6 Series ALPINA B6 G/CP AWD AWD, WBA6D6C54GGK18191,2016
31, Rear Wheel Drive, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, designo Cardinal Red Metallic, 28 MPG                                          |                              CITY, Silk Beige MB-Tex,"El Dorado Hills, CA        "," 22,377","            $54,991          ","             $49,222          ", R21011, 9-Speed Automatic w/OD,11.0,Mercedes-Benz CLS 550 Rear Wheel Drive, WDDLJ7DB3GA164982,2016
32, RWD, Intercooled Turbo Premium Unleaded I-4 2.0 L/121, Polar White, 30 MPG                                          |                              CITY, Black,"El Dorado Hills, CA        "," 31,555","            $35,995          ","             $31,422          ", R21024, 7-Speed Automatic w/OD,12.0,Lexus ES ES 300h FWD, JTHBW1GG7H2138004,2017
